008090080917102 203                                                                                1207052012105105   213491    170111420 935
008120081217302 201                                                                                1130082011106103   213401    170111420 967
008120081217302 202                                                                                1109032017101104   214071    170111420 967
008070080717402 201                                                                                1111022013105104   213581    170111419 965
008070080717402 202                                                                                1214122014103103   213801    170111419 965
009030090301102 201                                                                                1222082014103104   213761    010111419 998
009030090301102 202                                                                                1225052017100103   214091    010111419 998
009110091101102 201                                                                                1230061991126105   210981    010111420 854
009110091101102 202                                                                                1130041995123104   211441    010111420 854
009110091101102 203                                                                                1223012006112103   212731    010111420 854
009020090201102 201                                                                                1125052016101103   213971    0101114201027
009180091801102 201                                                                                1124052006111105   212771    010111420 948
009180091801102 202                                                                                1112122009108104   213201    010111420 948
009180091801102 203                                                                                1215092017100103   214131    010111420 948
009150091501202 201                                                                                1222111998119105   211871    010111420 825
009150091501202 202                                                                                1107122000117104   212121    010111420 825
009150091501202 203                                                                                1114022008110103   212981    010111420 825
009140091401201 101                                                                                1126032006112103   212751    0101114201054
009140091401201 102                                                                                1129122007110102   212961    0101114201054
009170091701202 201                                                                                1122052007110105   212891    010111420 955
009170091701202 202                                                                                1214082009108104   213161    010111420 955
009170091701202 203                                                                                1221112011106103   213431    010111420 955
009160091601202 201                                                                                1226051995122105   211451    010111420 864
009160091601202 202                                                                                1227081996121104   211601    010111420 864
009160091601202 203                                                                                1124072002115103   212311    010111420 864
009040090401302 201                                                                                1109072002115105   212311    010111420 916
009040090401302 202                                                                                1202092007110104   212931    010111420 916
009040090401302 203                                                                                1209092014103103   213771    010111420 916
009010090101302 201                                                                                1210042006111105   212761    010111420 990
009010090101302 202                                                                                1127032008110104   212991    010111420 990
009010090101302 203                                                                                1203122013104103   213681    010111420 990
009130091301402 201                                                                                2128012004114107   212491    010111420 874
009130091301402 202                                                                                2228012004114106   212491    010111420 874
009130091301402 203                                                                                2128012004114105   212491    010111420 874
009130091301402 204                                                                                1228092008109104   213051    010111420 874
009130091301402 205                                                                                1204022011107103   213341    010111420 874
009060090601403 301                                                                                1102112016101104   214031    0101114201088
009050090501403 301                                                                                1221032014104104   213711    0101114201105
010040100401102 201                                                                                1230062004113103   212541    010111421 833
010160101601202 201                                                                                1221062007110105   212901    010111421 940
010160101601202 202                                                                                1208102010107104   213301    010111421 940
010160101601202 203                                                                                1109122011106103   213441    010111421 940
010150101501203 301                                                                                1109092017100105   214131    0101114211035
010070100701302 201                                                                                1121062015102104   213861    0101114211045
010070100701302 202                                                                                1102032018100103   214191    0101114211045
010030100301303 301                                                                                1214052012105104   213491    010111421 949
010030100301303 302                                                                                1112032017101105   214071    010111421 949
010110101101302 201                                                                                1108052008109103   213011    010111421 836
010060100601402 201                                                                                1117052006111104   212771    010111421 980
010060100601402 202                                                                                1220082009108103   213161    010111421 980
010170101701402 201                                                                                1228082006111105   212801    010111421 902
010170101701402 202                                                                                1210072008109104   213031    010111421 902
010170101701402 203                                                                                1212042010108103   213241    010111421 902
010130101301402 201                                                                                1224072009108104   213151    010111421 945
010130101301402 202                                                                                1210082010107103   213281    010111421 945
011050110501102 201                                                                                1106072000117104   212071    010111419 912
011050110501102 202                                                                                1115102003114103   212461    010111419 912
011180111801202 201                                                                                1228112002115105   212351    010111420 957
011180111801202 202                                                                                1117042007110104   212881    010111420 957
011180111801202 203                                                                                1102032012106103   213471    010111420 957
011090110901202 201                                                                                1112122010107104   213321    0101114201075
011090110901202 202                                                                                1115112015102103   213911    0101114201075
011070110701302 201                                                                                1111042012105104   213481    010111419 919
011070110701302 202                                                                                1228042014103103   213721    010111419 919
011150111501302 201                                                                                1231072005112104   212671    0101114191022
011150111501302 202                                                                                1125022007111103   212861    0101114191022
011040110401302 201                                                                                1227072008109104   213031    010111420 842
011040110401302 202                                                                                1106012010108103   213211    010111420 842
011110111101402 201                                                                                1230042012105104   213481    0101114191008
011110111101402 202                                                                                1124032015103103   213831    0101114191008
011100111001402 201                                                                                1205042003114104   212401    010111420 907
011100111001402 202                                                                                1129062006111103   212781    010111420 907
011200112001402 201                                                                                1101102014103103   213781    0101114201051
011200112001402 202                                                                                1120112015102104   213911    0101114201051
011140111401402 201                                                                                1128062008109105   213021    010111420 966
011140111401402 202                                                                                1115082011106104   213401    010111420 966
011140111401402 203                                                                                1211072013104103   213631    010111420 966
012110121101102 201                                                                                1129102003114106   212461    010111419 864
012110121101102 202                                                                                1131082005112105   212681    010111419 864
012110121101102 203                                                                                1108122006111104   212841    010111419 864
012110121101102 204                                                                                1220082008109103   213041    010111419 864
012100121001103 301                                                                                1211012014104104   213691    0101114191075
012100121001103 302                                                                                1108052016101105   213971    0101114191075
012190121901202 201                                                                                1111072006111104   212791    010111419 997
012190121901202 202                                                                                1206092007110105   212931    010111419 997
012190121901202 203                                                                                1122072010107103   213271    010111419 997
012080120801304 401                                                                                1125042003114105   212401    010111419 963
012080120801304 402                                                                                1108082007110106   212921    010111419 963
012130121301302 201                                                                                1231032009109104   213111    0101114191064
012130121301302 202                                                                                1113062011106103   213381    0101114191064
012150121501304 401                                                                                1220042011106105   213361    0101114191030
012150121501304 402                                                                                1216122012105106   213561    0101114191030
012200122001302 201                                                                                1115111990127200   210911    010111419 845
012200122001302 202                                                                                1101011999119103   211891    010111419 845
013070130701102 201                                                                                1112061994123105   211341    010111420 877
013070130701102 202                                                                                1107081998119104   211841    010111420 877
013070130701102 203                                                                                1212112004113103   212591    010111420 877
013100131001102 201                                                                                1123052000117105   212051    010111420 908
013100131001102 202                                                                                1207082004113104   212561    010111420 908
013100131001102 203                                                                                1202082011106103   213401    010111420 908
013140131401102 201                                                                                1210111995122107   211511    010111420 882
013140131401102 202                                                                                1113081997120105   211721    010111420 882
013140131401102 203                                                                                1116052000117106   212051    010111420 882
013140131401102 204                                                                                1104102005112104   212701    010111420 882
013140131401102 205                                                                                1128102012105103   213541    010111420 882
013150131501102 201                                                                                1212102009108104   213181    0101114201003
013150131501102 202                                                                                1230102011106103   213421    0101114201003
013120131201102 201                                                                                1111062013104104   213621    010111420 980
013120131201102 202                                                                                1121042016102103   213961    010111420 980
013030130301202 201                                                                                1209122009108103   213201    0101114201012
013170131701202 201                                                                                1128021999119105   211901    010111420 855
013170131701202 202                                                                                1230072004113104   212551    010111420 855
013170131701202 203                                                                                1221032007111103   212871    010111420 855
013160131601202 201                                                                                1110011992126106   211051    010111420 858
013160131601202 202                                                                                1124091994123105   211371    010111420 858
013160131601202 203                                                                                1220011996122104   211531    010111420 858
013160131601202 204                                                                                1108082009108103   213161    010111420 858
013010130101302 201                                                                                1120052004113104   212531    010111420 947
013010130101302 202                                                                                1124072008109103   213031    010111420 947
013080130801302 201                                                                                1206052012105103   213491    0101114201032
